onset	duration	stimulusname	stimulusnumber	levelA	levelB	levelC	withinexemplarnumber	istarget	trialnumber	condition	response	correct	rt
30337	1	stim158_inanimate_furniture_table_2.png	158	inanimate	furniture	table	2	0	1	stars	4	correct	0.70360197185073
30387	1	stim098_animate_mammal_rhino_2.png	98	animate	mammal	rhino	2	0	1	stars	4	correct	0.70360197185073
30437	1	stim199_inanimate_tools_wrench_3.png	199	inanimate	tools	wrench	3	0	1	stars	4	correct	0.70360197185073
30487	1	stim170_inanimate_plants_sunflower_2.png	170	inanimate	plants	sunflower	2	0	1	stars	4	correct	0.70360197185073
30537	1	stim007_animate_aquatic_fish_3.png	7	animate	aquatic	fish	3	0	1	stars	4	correct	0.70360197185073
30587	1	stim182_inanimate_tools_broom_2.png	182	inanimate	tools	broom	2	0	1	stars	4	correct	0.70360197185073
30637	1	stim105_inanimate_clothing_hat_1.png	105	inanimate	clothing	hat	1	0	1	stars	4	correct	0.70360197185073
30687	1	stim049_animate_human_clown_1.png	49	animate	human	clown	1	0	1	stars	4	correct	0.70360197185073
30737	1	stim091_animate_mammal_kangaroo_3.png	91	animate	mammal	kangaroo	3	0	1	stars	4	correct	0.70360197185073
30787	1	stim178_inanimate_plants_tulip_2.png	178	inanimate	plants	tulip	2	0	1	stars	4	correct	0.70360197185073
30837	1	stim070_animate_insect_butterfly_2.png	70	animate	insect	butterfly	2	0	1	stars	4	correct	0.70360197185073
30887	1	stim161_inanimate_plants_bush_1.png	161	inanimate	plants	bush	1	0	1	stars	4	correct	0.70360197185073
30937	1	stim121_inanimate_fruits_apple_1.png	121	inanimate	fruits	apple	1	0	1	stars	4	correct	0.70360197185073
30987	1	stim061_animate_insect_ant_1.png	61	animate	insect	ant	1	0	1	stars	4	correct	0.70360197185073
31037	1	stim188_inanimate_tools_hammer_4.png	188	inanimate	tools	hammer	4	0	1	stars	4	correct	0.70360197185073
31087	1	stim078_animate_insect_grasshopper_2.png	78	animate	insect	grasshopper	2	0	1	stars	4	correct	0.70360197185073
31137	1	stim073_animate_insect_dragonfly_1.png	73	animate	insect	dragonfly	1	0	1	stars	4	correct	0.70360197185073
31187	1	stim024_animate_bird_chicken_4.png	24	animate	bird	chicken	4	0	1	stars	4	correct	0.70360197185073
31237	1	stim085_animate_mammal_giraffe_1.png	85	animate	mammal	giraffe	1	0	1	stars	4	correct	0.70360197185073
31287	1	stim092_animate_mammal_kangaroo_4.png	92	animate	mammal	kangaroo	4	0	1	stars	4	correct	0.70360197185073
31337	1	stim197_inanimate_tools_wrench_1.png	197	inanimate	tools	wrench	1	0	1	stars	4	correct	0.70360197185073
31387	1	stim163_inanimate_plants_bush_3.png	163	inanimate	plants	bush	3	0	1	stars	4	correct	0.70360197185073
31437	1	stim021_animate_bird_chicken_1.png	21	animate	bird	chicken	1	0	1	stars	4	correct	0.70360197185073
31487	1	stim136_inanimate_fruits_pineapple_4.png	136	inanimate	fruits	pineapple	4	0	1	stars	4	correct	0.70360197185073
31537	1	stim020_animate_aquatic_shrimp_4.png	20	animate	aquatic	shrimp	4	0	1	stars	4	correct	0.70360197185073
31587	1	stim068_animate_insect_bug_4.png	68	animate	insect	bug	4	0	1	stars	4	correct	0.70360197185073
31637	1	stim164_inanimate_plants_bush_4.png	164	inanimate	plants	bush	4	0	1	stars	4	correct	0.70360197185073
31687	1	stim148_inanimate_furniture_chair_4.png	148	inanimate	furniture	chair	4	0	1	stars	4	correct	0.70360197185073
31737	1	stim113_inanimate_clothing_shirt_1.png	113	inanimate	clothing	shirt	1	0	1	stars	4	correct	0.70360197185073
